user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
CiroDeSiena,"Jeez I was a full-on stereotype this morning. Drove a Golf R into work, fitted with a custom titanium exhaust and a huge sound system, and to help wake up I was listening to David Guetta. All I needed was a protein shaker and I could've just gone ahead and changed my name to Jono",2019-03-26T13:16:39.000Z,https://t.co/D7Zn0TwpcX,Ciro De Siena💉🇿🇦💉,South Africa,false,4,73,7,12,-61,3
TravelLeisure,You and a friend can have breakfast and a private museum tour with Sir David Attenborough https://t.co/QFHW7aGYQH https://t.co/5y02yhjEv4,2019-02-21T06:45:41.000Z,http://t.co/vmvNyo6nXZ,Travel + Leisure,"New York, NY",true,1,9,2,3,-6,1
VintageVibesEd,"Tomorrow is the day! Watch VIPs Piera, Norma, Shel and David enjoy the fabulous cooking of Michelin Star Chef @TomKitchin on tomorrow's BBC @SaturdayKitchen from 10am for @comicrelief

Let us know if you're going to watch! https://t.co/crL9JhWD4r",2019-02-22T17:33:18.000Z,https://t.co/KR8a1zSYc6,Vintage Vibes,"Edinburgh, Scotland",false,1,5,2,1,-4,1
otidanai,"And that's just 2 and a bit months, she is coming for the pro tour, possibly hosting The One Show for a while AND winning Strictly, among the projects we don't even know yet, like maybe hosting Comic Relief with Joe and that show she filmed with Stacey. https://t.co/EvDhjff47d",2019-02-23T20:48:04.000Z,,n⁷ is on a break 💜,NA,false,1,6,2,0,-6,1
TravelLeisure,You and a friend can have breakfast and a private museum tour with Sir David Attenborough https://t.co/FHHIt5xFNH https://t.co/r6Sdrpmx7s,2019-02-25T13:46:01.000Z,http://t.co/vmvNyo6nXZ,Travel + Leisure,"New York, NY",true,1,10,2,0,-10,1
goosefat101,#ff @Patienceakumu  who wrote this: Charity at heart of ‘white saviour’ row speaks out https://t.co/NohTCRqnVw,2019-03-08T09:52:19.000Z,https://t.co/NotzPZ8BOh,Dave Pickering,"Lancaster, England",false,1,1,2,0,-1,1
reubenturner,https://t.co/p5TBmLieUr No more white saviours. Thanks @DavidLammy for inspiring the conversation.,2019-03-12T14:42:56.000Z,https://t.co/vqdDH5Yrqt,reuben turner,"Brighton, England",false,3,14,4,1,-13,1
TravelLeisure,You and a friend can have breakfast and a private museum tour with Sir David Attenborough https://t.co/pP4k86BpZ8 https://t.co/rJV0cM31Ht,2019-02-21T19:45:46.000Z,http://t.co/vmvNyo6nXZ,Travel + Leisure,"New York, NY",true,3,8,3,0,-8,0
Angenette5,"David Dooley could not be excluded as a profile on the bag on Michelle Mockbee’s head. There was a mix of DNA on the bag. Morin says it’s 447,000 more times likely to be David Dooley’s DNA than anyone else @Local12 #Dooley",2019-02-25T17:03:20.000Z,https://t.co/6kn46Lhxnz,Angenette Levy,"Cincinnati, OH",true,1,2,1,0,-2,0
REBA_Global,How to avoid stereotypes and assumptions when designing reward for an ageing workforce - according to David Palman @hellobenefex https://t.co/whldH3vcqv https://t.co/sNsVm5nPNn,2019-02-27T16:35:04.000Z,http://t.co/3XLr8YG3eH,Reward & EB Assoc,United Kingdom,false,1,3,1,0,-3,0
LSRpolitics,"Coming up, we'll be discussing Comic Relief and the 'white saviour' complex with @gemmakristina! Tune in now over at LSradio x",2019-03-06T10:13:15.000Z,https://t.co/629fpgqqfl,Politics Hour,University of Liverpool,false,1,3,1,0,-3,0
WritersofColour,"Comic Relief and Stacey Dooley’s responses to David Lammy betray deeper issues in the aid sector

https://t.co/3BSEqz8siF",2019-03-07T23:59:00.000Z,https://t.co/orLpnnOKdO,Media Diversified,NA,true,1,6,1,1,-5,0
MarjanBoelsma,"'a white celebrity holding one or sitting amongst several local children in Africa, promoting a cause or to raise funds for a development program or NGO.' #WhiteSaviorComplex https://t.co/Z4teRS7x3d",2019-03-10T12:16:29.000Z,https://t.co/LUfhO0Timn,Marjan Boelsma,Rotterdam,false,1,3,1,0,-3,0
petergbgrant,"My take on Stacey Dooley, Comic Relief and the #WhiteSaviour narrative from inside the fundraising sector.... https://t.co/uPGwsLVlwo",2019-03-12T14:17:35.000Z,,Pete Grant,London,false,1,3,1,1,-2,0
Anniefance,@Joe_Sugg @bbcstrictly @dbuzz6589 @StaceyDooley @keviclifton Our lovely 4-7 year olds from Stamshaw Infant School in Portsmouth are taking part in a 5 hour Danceathon on Friday! They would love to have your support! 🕺💃🏻🔴@comicrelief,2019-03-13T20:23:50.000Z,,Anna Fancey,NA,false,1,15,1,0,-15,0
HPUKParents,"""They are essentially just another form of single-use plastic."" https://t.co/c1ivK9leNq",2019-03-14T12:28:26.000Z,https://t.co/kE5JqyhmpN,HuffPost UK Parents,London,true,1,3,1,0,-3,0
jjasq,David Lammy is wrong about white saviours and Comic Relief | Coffee House https://t.co/4RjB0pP3ff,2019-03-23T13:22:30.000Z,,Jack Squires,"Southall/Hayes , West London ",false,1,2,1,4,2,0
Angenette5,Det. Cochran also examined David Dooley’s jeans for any stains. He found a tear but not any blood. Dooley went home that morning  @Local12 #Dooley https://t.co/yMzlip5r8B,2019-02-21T14:31:55.000Z,https://t.co/6kn46Lhxnz,Angenette Levy,"Cincinnati, OH",true,1,1,0,0,-1,-1
LepineBrian,"MSNBC featured an all-anti-Bernie Sanders panel this morning, promoting every inaccurate stereotype about his supporters. He's not ""in touch,"" which is why the other candidates are running on his issues. #EyeRoll
 https://t.co/EB0u91KTeD via @msnbc",2019-02-23T18:26:44.000Z,,Brian Lepine,Massachusetts,false,1,1,0,0,-1,-1
HappyRichTV,Daddy David was happy for others success. He supported many opm singers celebs and fandoms and gave his heart soul and passion in what he did Defying stereotypes. It was a hard journey but learning to love so many was a delight for him. The Lord showed him that these people are,2019-02-24T18:35:37.000Z,,HappyRichTV,MCU ,false,1,10,0,1,-9,-1
