user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
cspan,".@SenWarren #WellsFargo CEO: ""You should resign. You should give back the money that you took..."" https://t.co/aPZViWGJIN",2016-09-20T16:14:39.000Z,https://t.co/L3A4afzX6T,CSPAN,"Washington, D.C.",true,3610,5025,1516,227,-4798,-2094
SenSanders,"How many people at Wells Fargo are going to jail? Zero. But if you smoke marijuana in this country, you get a criminal record.",2016-09-20T13:56:19.000Z,https://t.co/8AS4FHJNoG,Bernie Sanders,Vermont/DC,true,9022,14503,642,267,-14236,-8380
kylegriffin1,Wow— Elizabeth Warren destroyed the CEO of Wells Fargo this AM. Full clip here: https://t.co/yJMSY4CYEH https://t.co/AtpOIqBMnk,2016-09-20T20:06:48.000Z,https://t.co/1vRL91g006,Kyle Griffin,"Los Angeles, CA",true,1891,2347,558,60,-2287,-1333
SenWarren,"If you missed my questions for @WellsFargo CEO John Stumpf on his gutless leadership earlier today, take a look. https://t.co/5brb1ARRqC",2016-09-21T00:37:16.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,1782,4145,527,572,-3573,-1255
CNBC,"Sen. Warren slams Wells Fargo CEO for ""pushing blame"" on lower level employees, says ""it's gutless leadership"". https://t.co/3p2kebseDb",2016-09-20T15:34:06.000Z,https://t.co/OhV9V1EIa6,CNBC,"Englewood Cliffs, NJ",true,1622,2170,394,132,-2038,-1228
CBCAlerts,"Wells Fargo fined $185M for bank scam. Employees created 2M fake accounts to hit sales targets, charged consumers fees. 5,300 workers fired.",2016-09-08T19:48:25.000Z,http://t.co/vAXH6cjeS8,CBC News Alerts,Toronto,true,675,285,370,25,-260,-305
SenWarren,Watch my questioning of @WellsFargo CEO John Stumpf &amp; his gutless leadership at today’s @SenateBanking hearing: https://t.co/5brb1AAgz4,2016-09-20T19:05:02.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,977,2367,307,348,-2019,-670
AP,"BREAKING: Wells Fargo CEO John Stumpf to resign, effective immediately, in wake of scandal over bank's sales practices.",2016-10-12T21:10:43.000Z,https://t.co/0HD7A9hKKy,The Associated Press,Global,true,979,1047,241,98,-949,-738
ThomCollinsWS,"The CEO of Wells Fargo created 2 million fake accounts, got 5,300 people fired &amp; is about to walk away with 200 million in stock amassed. ☺",2016-09-23T15:04:58.000Z,,Maze ft. Frankie Beverly - Reasons,NA,false,605,382,234,12,-370,-371
CNN,"Elizabeth Warren to Wells Fargo CEO: ""You should resign"" and be ""criminally investigated"" https://t.co/K2mdkNfhhm https://t.co/1tTXUhXSm3",2016-09-21T01:36:49.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,994,1845,209,208,-1637,-785
nytimes,Breaking News: Wells Fargo fined $185 million for widespread and pervasive illegal banking practices https://t.co/Z5INT0M1MB,2016-09-08T19:26:06.000Z,http://t.co/ahvuWqicF9,The New York Times,New York City,true,468,385,192,60,-325,-276
CNN,"Wells Fargo fired 5,300 employees for creating millions of phony accounts over past 5 years https://t.co/dT7Bsrp3sc https://t.co/uSMjWzRq6B",2016-09-08T19:41:56.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,400,269,184,64,-205,-216
CNNBusiness,"5,300 Wells Fargo employees fired for creating millions of phony accounts https://t.co/tBJ6qxQ5IF https://t.co/9UXa9goCNW",2016-09-08T19:35:00.000Z,https://t.co/ZLgYiheZkS,CNN Business,Global,true,330,160,172,34,-126,-158
CNBCnow,JUST IN: Wells Fargo chairman &amp; CEO has resigned as the representative of the 12th district to the Federal Reserve Advisory Council https://t.co/x61bLRtZht,2016-09-22T21:19:48.000Z,https://t.co/xNSucapdhO,CNBC Now,NA,true,629,686,171,82,-604,-458
