user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
NEWS_MAKER,STARBUCKS Schultz Opens Bathrooms To Everyone... https://t.co/SI3zZROsDu,2018-05-11T12:32:22.000Z,,NEWS MAKER,US,false,18,34,37,133,99,19
Shopkick,It's almost Friday and we think you could use a little treat ☕️ Tag a friend you think could use a little pick-me-up for the chance to win a $5 Starbucks card for each of you! ❤️ #thursday #friday #treatyourself https://t.co/cqc0weTOPe,2018-05-10T16:00:04.000Z,https://t.co/YFEcdWuhbv,Shopkick,"Redwood City, CA",true,51,120,16,190,70,-35
WalshFreedom,".@Starbucks new policy: No longer do you have to buy something to use the bathroom. Bathrooms are now open to everyone. Including the homeless, who are also now allowed to just hang out.

Classic leftist mindset: intentions are more important than results. https://t.co/L3qMjc24fu",2018-05-11T15:24:47.000Z,https://t.co/UsBcAXBRZO,Joe Walsh,NA,true,17,39,13,105,66,-4
Thomas1774Paine,Protesters Say That Starbucks’ Day-Long ‘Anti-Bias Training’ Just Isn’t Enough To Solve Chain’s ‘Racism’ https://t.co/FltjZv5Ch5,2018-04-25T10:40:04.000Z,,Thomas Paine,Muckraker Thomas Paine Podcast,false,15,36,9,74,38,-6
chicksonright,How do you feel about this? https://t.co/q3LNgcRnOt,2018-05-12T22:39:03.000Z,http://t.co/vv3I1aWuWG,Chicks On The Right,Indianapolis,true,3,10,6,42,32,3
BreitbartNews,“We don’t want to become a public bathroom. But...” https://t.co/KxdF8MtKCq,2018-05-12T00:03:51.000Z,http://t.co/2sVbt3n6lO,Breitbart News,NA,true,40,87,21,106,19,-19
theblaze,The decision came following the controversy that occurred after officers arrested two black men accused of loitering. https://t.co/NURiFxvYck,2018-05-11T21:15:00.000Z,https://t.co/fzW2udWeEx,TheBlaze,"Dallas, TX",true,3,3,2,17,14,-1
toddschnitt,"If ""beaner"" was used on the label intentionally as a Latino slur, it's repugnant. BUT, with the customer's accent, is it possible the @Starbucks employee thought they heard ""beaner"" instead of ""Peter?"" That's plausible. 
https://t.co/5U2DCkc1sV",2018-05-17T13:31:04.000Z,https://t.co/uKcHJMgypb,MJ/Todd Schnitt,"Tampa, Florida USA",true,2,12,3,25,13,1
DailyCaller,Starbucks Bathrooms Are Now Open To All Following Recent Scandal https://t.co/qzLrkrwjkI https://t.co/ZuXgEl0Jfx,2018-05-12T04:34:54.000Z,https://t.co/ePSMzp6Wnp,Daily Caller,"Washington, DC",true,8,13,6,25,12,-2
KFIAM640,"A racial slur printed on a customer's coffee order has the chain in trouble again. 

https://t.co/nivsOjr2Kd",2018-05-17T18:29:04.000Z,https://t.co/AuCocHFJ7M,KFI AM 640,Southern California,true,3,10,3,22,12,0
ESSENCE_Debates,"Since the Starbucks incident where two Black men were arrested, other incidents have made headlines where essentially people's blackness was policed. Do you think diversity training will help these establishments w/ profiling and biases? #lunchtimedebate",2018-04-24T16:34:57.000Z,https://t.co/HYYZBXrU9E,ESSENCE Debates,"New York, NY",false,3,2,2,13,11,-1
NewBlackMan,White people keep calling the cops on black people for no reason. That’s dangerous. https://t.co/a33hSysY1L via @voxdotcom,2018-05-13T03:15:59.000Z,https://t.co/RTVa4BCgqa,Mark Anthony Neal,"Durham, NC",false,47,44,17,55,11,-30
1a,"The recent situation at Starbucks escalated. Where does the fault lie: with the police, with the company, or with the decision to call 9-1-1? https://t.co/88gCW6DTMr",2018-04-28T12:22:00.000Z,https://t.co/ThNuA1cDJt,1A,"Washington, DC",true,5,3,0,13,10,-5
NRO,Starbucks Opens Bathrooms to Public amid Backlash over Arrest of Black Men https://t.co/l3cY1jtrL7 https://t.co/2iu6Y88OtE,2018-05-11T18:30:27.000Z,https://t.co/s00ora6By7,National Review,New York,true,2,4,6,13,9,4
ESSENCE_Debates,"For companies like Starbucks who have made a conscious decision to combat biases with training, do you think the Black community should still boycott their establishments? #lunchtimedebate",2018-04-24T16:45:48.000Z,https://t.co/HYYZBXrU9E,ESSENCE Debates,"New York, NY",false,2,2,1,9,7,-1
HLNTV,"Starbucks. An Airbnb. A BBQ. When people call the police on an African American in a minor incident and it escalates, who is to blame? Share your thoughts and be sure to watch our conversation on ‘Across America with @CarolHLN’ today. https://t.co/XXodZ80d5n",2018-05-14T15:14:12.000Z,https://t.co/a2G9vcrQwc,HLN,"Atlanta, GA",true,4,6,3,13,7,-1
MrErnestOwens,BACK AT IT! Check out my latest for @CNNOpinion (still can't believe I get to say this) on this recent wave of reporting surrounding the phenomenon of white folks calling the cops on Black people just because. #YaleWhileBlack #StarbucksWhileBlack https://t.co/oDbphrJcHA,2018-05-10T17:53:48.000Z,https://t.co/sPW5Mxa30P,Ernest Owens,"Philadelphia, USA",true,2,3,0,9,6,-2
CNBC,"""There's not been a measurable impact that we can attribute to Philadelphia,"" says Starbucks CEO about racially-charged arrests. https://t.co/xPyVyOqqrZ",2018-04-27T13:57:37.000Z,https://t.co/OhV9V1EIa6,CNBC,"Englewood Cliffs, NJ",true,5,3,1,7,4,-4
NEWS_MAKER,STARBUCKS Accused Of Racism Again After Latino Customer Receives Cup With 'Beaner' On Label... https://t.co/EILuGmTEjn,2018-05-17T11:17:10.000Z,,NEWS MAKER,US,false,98,175,46,179,4,-52
LauraGarciaNBC,The customer’s name was Pedro and a @Starbucks employee types in “Beaner” . Starbucks says it’s trying to “remedy the situation “  https://t.co/hqcSlA74Q2,2018-05-17T14:00:23.000Z,https://t.co/bEGW6FbWiu,Laura Garcia,San Francisco Bay Area,true,2,6,1,10,4,-1
