user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
ElieNYC,"Starbucks is taking away coffee for a day. Maybe NOW white people will see that racism impacts them as well. :) 
#ADayWithoutCoffee #WhitePenance 
https://t.co/TLq2bmXvYR",2018-04-17T19:08:24.000Z,https://t.co/aTX8jX5TCg,Elie Mystal,NY,true,123,781,275,590,-191,152
USATODAY,The arrests at Starbucks raise a question: Is it ever OK to kick you out of a store? https://t.co/nOVB82MuiQ (Photo: AP) https://t.co/bDvRlKHvbT,2018-04-18T15:40:03.000Z,https://t.co/yNKGMNvztv,USA TODAY,"USA TODAY HQ, McLean, Va.",true,36,98,138,341,243,102
ericonederful,I'm going to Starbucks to take a knee... in a racist manager's face.,2018-04-14T23:34:06.000Z,https://t.co/9bBgYubOQl,Mr. Onederful®,"Los Angeles, CA",false,7,58,100,3,-55,93
Slate,Starbucks CEO apologizes for arrest of two black men waiting in Philadelphia store. https://t.co/ePAkzIMava https://t.co/ccUJ88KJNA,2018-04-16T04:17:21.000Z,https://t.co/m5NGCv2a2a,Slate,NA,true,143,314,213,47,-267,70
ericonederful,My coffee was so black in came in handcuffs. #BoycottStarbucks,2018-04-15T00:49:53.000Z,https://t.co/9bBgYubOQl,Mr. Onederful®,"Los Angeles, CA",false,8,25,64,2,-23,56
dumbassgenius,"Yes, #Starbucks had two black guys arrested for not buying drinks. But remember, the men are Realtors® and if left unchecked, would've shown some family a 6bd, 2ba fixer-upper in Chestnut Hill. https://t.co/4RSQbSKyr3",2018-04-15T03:18:12.000Z,https://t.co/WYke2bIYnm,Rick G. Rosner,Los Angeles,true,3,8,57,4,-4,54
ATLBlackStar,Starbucks Chairman Wants to See 'Reconciliation' Between Manager and Two Black Men; Says She's Suffered In Her Own Way https://t.co/f6OLuyDPdb https://t.co/szLD4vtjfk,2018-04-20T13:04:49.000Z,https://t.co/Ma1o45NWTZ,Atlanta Black Star,"Atlanta, GA",false,19,16,64,104,88,45
nytopinion,"""Starbucks should be a beacon for embarking on the work of racial healing both internally and externally — and not just for one day"" #NYTLetters https://t.co/6Fd7nqCg5Z",2018-04-19T18:30:50.000Z,https://t.co/oy7Q8cSQqk,New York Times Opinion,"NYC, London, Paris, Hong Kong",true,3,20,26,66,46,23
NEWS_MAKER,STARBUCKS Schultz Opens Bathrooms To Everyone... https://t.co/SI3zZROsDu,2018-05-11T12:32:22.000Z,,NEWS MAKER,US,false,18,34,37,133,99,19
NBCNews,"Starbucks needs to work harder to condemn racism, say brand experts. https://t.co/e6JYgr20NT",2018-04-17T15:17:02.000Z,https://t.co/Z73is4fJ3x,NBC News,"New York, NY",true,38,84,51,111,27,13
YahooFinance,Starbucks will close all U.S. stores on May 29 for 'racial bias education' @SallyPancakes https://t.co/hlW95x0lnX https://t.co/12ZkXAhJ4x,2018-04-17T18:06:55.000Z,https://t.co/LrB4M4iv6B,Yahoo Finance,"New York, NY",true,17,21,27,14,-7,10
NEWS_MAKER,Black men arrested at STARBUCKS say feared for lives...,2018-04-19T11:46:46.000Z,,NEWS MAKER,US,false,23,64,33,245,181,10
OfficiallyReid,The Starbucks situation is very simple..its a business..you have to pay to be in here..or leave...if you don't leave...YOU ARE TRESPASSING..Cops will be called..if you still don't leave..u will be ARRESTED..now if they tried to buy product then got refused service it's different.,2018-04-16T21:04:12.000Z,https://t.co/73vTvZCGc6,Reid,"Detroit, MI ✈ Las Vegas, NV",false,1,12,10,3,-9,9
RAMRANTS,"After what happened to two innocent black men at a Philadelphia Starbucks, Hillary Clinton’s “super predator” remark comes to mind. Her and her husband’s administration paved the way for this type of discrimination and that shouldn’t be disregarded. 

It was only 22 years ago.",2018-04-15T19:54:20.000Z,https://t.co/pziIbRrqsb,RAM (Richard Armande Mills),"Oregon, USA",true,6,23,14,120,97,8
NEWS_MAKER,STARBUCKS CEO vows 'unconscious bias' training... https://t.co/1TYzqrrHsv,2018-04-17T02:36:13.000Z,,NEWS MAKER,US,false,19,38,27,98,60,8
TMZ,Lil Xan Not Boycotting Starbucks https://t.co/adFWDfD1Mq,2018-04-19T13:45:03.000Z,https://t.co/LQPPfVeJqW,TMZ,"Los Angeles, CA",true,2,10,10,6,-4,8
NRO,Women’s March Leader Calls for Starbucks Boycott Due to Partnership with Jewish Group https://t.co/lYfAjcIUic https://t.co/P4Vy3RI6vQ,2018-04-20T11:03:09.000Z,https://t.co/s00ora6By7,National Review,New York,true,33,22,41,28,6,8
ATLBlackStar,Starbucks Chairman Wants to See 'Reconciliation' Between Manager and Two Black Men; Says She's Suffered In Her Own Way https://t.co/f6OLuyDPdb https://t.co/sL2dEEqPkn,2018-04-21T04:45:02.000Z,https://t.co/Ma1o45NWTZ,Atlanta Black Star,"Atlanta, GA",false,25,23,33,60,37,8
HotNewHipHop,"Lil Xan flaunts his #Starbucks run seemingly unaware of boycott

🥤🥤
https://t.co/tawVadmkGQ https://t.co/UQVqrh1N8n",2018-04-19T18:45:02.000Z,,HotNewHipHop,NA,true,1,12,8,4,-8,7
kathyprojo,".@TrilloforGov “I am so sick of hearing people scream the word racism every time a minority gets arrested for something unlawful.  Sorry folks, if you’re asked to leave a business’s premises, you leave.  It’s not racism, it’s what happens when you break the law."" #Starbucks",2018-04-20T20:59:18.000Z,https://t.co/MpAEJrgi3O,katherine gregg,"Providence, R.I.",false,1,4,7,14,10,6
JoParkerBear,A patron in an Atlanta Starbucks found a hidden camera in the bathroom-- no joke. I am totally freaked out. No more having sex in Starbucks bathrooms for me.,2018-04-23T12:52:36.000Z,https://t.co/1mHzUp3bo7,Brosephine Wires,United States,false,36,172,42,7,-165,6
BuzzFeedNews,"You can now use Starbucks bathrooms without buying anything

https://t.co/ByM106OjJA",2018-05-11T13:43:23.000Z,https://t.co/zNicBkWJ5l,BuzzFeed News,NA,true,65,298,71,41,-257,6
Independent,Starbucks chairman says coffee shop 'toilets are open to everyone' https://t.co/pKIg6XOKIP https://t.co/KDfiYHHd1O,2018-05-12T17:44:06.000Z,https://t.co/gZeS7qlNx6,The Independent,"London, England",true,2,13,8,8,-5,6
NBCBLK,Police chief defends officers in arrest of black men at Starbucks https://t.co/ckJIgaLtrH,2018-04-15T13:54:18.000Z,https://t.co/WmHot6WZGJ,NBCBLK,"New York, NY",true,6,4,11,15,11,5
RealSaavedra,"#BREAKING: Starbucks to close over 8,000 stores in the U.S. on May 29 ""to conduct racial-bias education geared toward preventing discrimination in our stores."" https://t.co/v4nHQJhwUr",2018-04-17T17:56:30.000Z,,Ryan Saavedra,USA,true,24,32,29,52,20,5
KTLA,Starbucks says the training will be developed with guidance from experts including former Attorney General Eric Holder https://t.co/EyMeBNvuQE,2018-04-17T19:07:36.000Z,http://t.co/ZgOP41jU0Y,KTLA,"Los Angeles, CA",true,27,98,32,48,-50,5
BreitbartNews,https://t.co/ZPWpKD4k37,2018-04-20T12:55:16.000Z,http://t.co/2sVbt3n6lO,Breitbart News,NA,true,8,32,13,102,70,5
fox6now,Police chief: Officers did nothing wrong in Starbucks arrest seen in viral video https://t.co/QZ7VR39MN3 https://t.co/FdCTFHxf8y,2018-04-15T03:35:10.000Z,https://t.co/A7pyOoAB2X,FOX6 News,Milwaukee,true,1,1,5,0,-1,4
NotReallyABear2,"On the Starbucks kerfluffle: it’s hard for me to feel bad for Starbucks. Not the workers dealing with the crazy, but the corporation. These are your rules, leftwingers. Identity politics. People in minority groups can do *anything* and if you’re bothered you get called racist.",2018-04-17T01:05:45.000Z,,all brie,"Washington, USA",false,2,30,6,7,-23,4
MarketWatch,Starbucks to close all U.S. stores on May 29 for racial-bias education https://t.co/an89z0iVI8,2018-04-17T17:45:50.000Z,https://t.co/Z9DRUcnQ8M,MarketWatch,"New York, NY",true,35,26,39,12,-14,4
envydatropic,GET the fuck outta here with that boycott Starbucks bullshit,2018-04-18T01:29:18.000Z,https://t.co/yg8dWDWsZQ,❤ Envy ❤,NA,false,45,106,49,13,-93,4
BusinessInsider,Starbucks CEO says that boycotts following the arrests of two black men haven't impacted sales https://t.co/3dMUrvPzLm https://t.co/10ogYKKY0l,2018-04-26T22:29:01.000Z,https://t.co/qJiLYVC7Jx,Business Insider,"New York, NY",true,7,4,11,6,2,4
NRO,Starbucks Opens Bathrooms to Public amid Backlash over Arrest of Black Men https://t.co/l3cY1jtrL7 https://t.co/2iu6Y88OtE,2018-05-11T18:30:27.000Z,https://t.co/s00ora6By7,National Review,New York,true,2,4,6,13,9,4
abcactionnews,"JUST IN | Starbucks spokesperson says manager in the store who called police leading to the arrest of two black men, no longer works at the store  https://t.co/9Em7tc3kam https://t.co/Aoml8fAvXe",2018-04-16T17:38:47.000Z,https://t.co/hjOLC3xFry,ABC Action News,Tampa,true,3,8,6,3,-5,3
chakaaaa__,Sorry. I can't boycott Starbucks.,2018-04-16T18:07:00.000Z,,tender roni.,GA,false,1,1,4,0,-1,3
HipHopWired,T.I. Calls For #Boycott Of #Starbucks After Philadelphia Incident #BoycottStarbucks https://t.co/KHdwzbsild #news https://t.co/9ECtoxU0Z5,2018-04-16T18:53:51.000Z,http://t.co/3QJrsNECJL,HipHopWired,NA,false,1,8,4,1,-7,3
WalshFreedom,"New policies coming to politically correct @Starbucks: 

1. Only white people must buy something in order to use the bathroom. 

2. No employee can call the police to report on a black person, even a black person committing a crime. 

3. Only white people must pay for coffee.",2018-04-17T19:58:01.000Z,https://t.co/UsBcAXBRZO,Joe Walsh,NA,true,89,258,92,480,222,3
chicagotribune,"Philadelphia police release 911 call from Starbucks employee that led to arrests of two black men: ""Hi, I have two gentlemen in my cafe that are refusing to make a purchase or leave."" https://t.co/Kv2nx79EOn https://t.co/8kMX6gubLw",2018-04-17T23:16:19.000Z,https://t.co/DekZkEnIYp,Chicago Tribune,"Chicago, IL",true,2,10,5,6,-4,3
