user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
RyanRuggiero,INBOX: @united CEO sends letter to employees about United Express flight. https://t.co/obVdl6G2E0,2017-04-10T23:26:28.000Z,https://t.co/svpCeOBAs8,Ryan Ruggiero,NA,true,3289,2480,3960,1573,-907,671
BuzzFeed,"The man dragged off a United flight says “everything"" is injured https://t.co/3uazQ9Nkc3 https://t.co/yjTaiH47b7",2017-04-11T19:47:01.000Z,https://t.co/9tsxyq9gNZ,BuzzFeed,New York,true,4953,7683,5614,392,-7291,661
CNN,United CEO: We won't let police drag people off our planes anymore https://t.co/gaCN2mKMFu https://t.co/EtF0qAOaLv,2017-04-12T12:46:57.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,357,635,506,486,-149,149
NBCNightlyNews,"BREAKING: Dragged United passenger Dr. David Dao has settled with the airline for an undisclosed amount, his attorneys say.",2017-04-27T19:05:25.000Z,https://t.co/siVgviWIA1,NBC Nightly News with Lester Holt,New York,true,624,502,707,97,-405,83
courierjournal,"David Dao, the Elizabethtown doctor yanked from United flight, has troubled past in Kentucky https://t.co/aFZLaExbmm",2017-04-11T13:28:23.000Z,https://t.co/Ou4Dl79Kfd,Courier Journal,"Louisville, Kentucky",true,12,9,87,168,159,75
BuzzFeed,"This former airline CEO said the United passenger dragged off a flight was being “immature"" https://t.co/fm7oH97rgx https://t.co/KcY7PArU4O",2017-04-10T17:31:01.000Z,https://t.co/9tsxyq9gNZ,BuzzFeed,New York,true,42,77,111,45,-32,69
MetroUK,United passenger dragged off plane was convicted of trading drugs for sex https://t.co/fC06YTzMtg,2017-04-11T16:32:44.000Z,https://t.co/nq2XCErvXW,Metro,NA,true,11,10,75,90,80,64
USATODAY,#BREAKING United Airlines is ‘clarifying’ that flight where man was dragged off was not overbooked https://t.co/zfOh3fYCf7,2017-04-11T18:08:39.000Z,https://t.co/yNKGMNvztv,USA TODAY,"USA TODAY HQ, McLean, Va.",true,279,166,342,139,-27,63
BuzzFeedNews,"United Airlines CEO Oscar Munoz sends letter to employees about Express Flight 3411
https://t.co/b0pi0wqMyB https://t.co/RsaakR1saH",2017-04-11T00:09:21.000Z,https://t.co/zNicBkWJ5l,BuzzFeed News,NA,true,124,99,179,85,-14,55
DailyMail,Doctor dragged off United flight was convicted felon who traded prescription drugs for secret gay sex https://t.co/R6bUDSQNWN,2017-04-11T15:07:47.000Z,http://t.co/fT7KB2wyqg,Daily Mail US,New York,true,104,55,158,135,80,54
