user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
NBCNews,"Protesters ransack South African H&amp;M stores over ""racist"" ad https://t.co/Eq3Txy8xRO",2018-01-13T22:59:27.000Z,https://t.co/Z73is4fJ3x,NBC News,"New York, NY",true,48,105,59,306,201,11
METROFMSA,"TOPIC: Mother Of Black Boy In Racist H&amp;M Campaign Ad Says There Is Nothing Wrong With It…What’s your comment on this?
Call us on: 089 110 33 77 or tweet us on @MetroFMSA to leave your comment #TheDriveOnMetro @MasechabaNdlovu @moflavadj https://t.co/ruT2fdbitj",2018-01-11T13:16:27.000Z,https://t.co/N8uDZbmX1P,METROFM SABC,South Africa,true,56,154,11,226,72,-45
Radio702,AfriForum deputy CEO Ernst Roets says he doesn't think the H&amp;M ad was comparing black people to monkeys. https://t.co/kqL9QIBOEW,2018-01-16T12:11:17.000Z,https://t.co/gcMmtOFshg,702,"Gauteng, South Africa",true,15,28,31,96,68,16
AndiMakinana,"The DA says EFF leader Julius Malema should be held financially accountable for the damages at H&amp;M store.

Says there are ""other effective 😎 and non-violent ways to fight institutional racism"". https://t.co/3tpEgJJBXv",2018-01-14T10:51:55.000Z,https://t.co/V3XSzemZ0p,Scapegoat,"Cape Town, South Africa",false,147,166,87,224,58,-60
ATLBlackStar,Mom of Young H&amp;M Model At Center of Controversy Reportedly Has No Issues with 'Coolest Monkey' Hoodie https://t.co/DnwYfzWe5p https://t.co/Hx3LltVOVp,2018-01-10T19:56:44.000Z,https://t.co/Ma1o45NWTZ,Atlanta Black Star,"Atlanta, GA",false,47,41,35,97,56,-12
Our_DA,"It is clear that H&amp;M have violated the ICC’s code of advertising with their racially-discriminatory advert. 

""As the foremost retail authority, they should fully investigate this incident &amp; institute appropriate sanctions."" - @RefiloeNtsekhe 

https://t.co/rmmU29HM93",2018-01-15T11:46:06.000Z,https://t.co/FqyM1bNZ2b,Democratic Alliance,South Africa,true,29,59,28,115,56,-1
telegraaf,Kledingrekken en paspoppen zijn met de grond gelijk gemaakt. https://t.co/2eH0Vs6Ij6,2018-01-13T15:57:44.000Z,http://t.co/dBiNMEJFM2,De Telegraaf,Amsterdam,true,34,19,28,73,54,-6
SABreakingNews,"The Weekend has cut ties with H&amp;M after the retailer latest campaign features a black boy wearing a hoodie written "" Coolest Monkey in the Jungle"". What's your take on the campaign? Is it racist or are people exaggerating? 
https://t.co/gutrx2rntt https://t.co/QaXTSg0pzr",2018-01-09T07:01:57.000Z,https://t.co/LO2Prkqkdh,SA Breaking News,South Africa,false,36,53,26,97,44,-10
TheRoot,Parents of H&amp;M model speak out on 'monkey' hoodie controversy: ‘Everybody should respect different opinions based on racism’ https://t.co/iSuTbFPJU1 https://t.co/f3JFUaGb5k,2018-01-17T06:06:46.000Z,https://t.co/KLVGN9DpOP,The Root,"New York, NY",true,39,57,25,99,42,-14
LBC,H&amp;M stores in South Africa ransacked over 'racist' hoodie advert https://t.co/lVMuyhoYQi https://t.co/VRQEK5Vxrt,2018-01-13T18:30:11.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,19,14,8,54,40,-11
