user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
LandoNorris,"I’m doing a meet and greet with Carlos to support the @F1 Australian bushfire appeal.

You’ll get a couple of VIP passes and the opportunity to see our lovely faces.

All proceedes go to @RedCrossAU, @CFA_Updates, @FRRR_Oz &amp; @WWF_Australia 👊🏼

https://t.co/ruXm2TLyB6",2020-01-28T12:15:31.000Z,https://t.co/LKc5Y44bMo,Lando Norris,NA,true,178,2502,20,47,-2455,-158
FFLose,"🇦🇺 Open d'Australie - #bushfires 

Pour la durée du tournoi, nous rejoignons le mouvement d'aide pour l'Australie.
Nous reverserons 5$ par double faute de @benoitpaire et 20$ par raquette brisée.

L'argent ira à la @RedCrossAU.
Bon Open d'Australie à tous! https://t.co/4Ti9b7JvIs",2020-01-19T18:14:10.000Z,https://t.co/sf7ykLu1JR,Fédé 🇫🇷 de la Lose,NA,false,375,2246,24,51,-2195,-351
AaronFinch5,"Big day today with the big appeal underway for the bushfire victims and recovery efforts. Log onto 
https://t.co/rkCJTzjTCQ  to find out more and make a donation. 
All funds raised  will go to the Australian Red Cross Disaster Relief and Recovery Fund. 
#BigAppeal https://t.co/CTj5uK4XS1",2020-02-09T01:51:17.000Z,,Aaron Finch,"Melbourne, Australia",true,104,1714,7,23,-1691,-97
MatisseThybulle,"Thank you to the @sixers org for helping us support @RedCrossAU and their Australian bushfire relief efforts through this @Prizeo campaign: https://t.co/vELr769rZP

Donate to a very worthy cause and have chance to win exclusive @sixers experiences and prizes. 🇦🇺 https://t.co/SWmp8wxyzt",2020-01-31T19:04:06.000Z,https://t.co/PZwmjjGYOL,Matisse Thybulle,NA,true,101,1264,12,51,-1213,-89
BenSimmons25,"Win the ultimate 76ers experience! You &amp; a guest will be flown to Philly &amp; participate in the Captains’ huddle, enjoy 2 tickets to the game &amp; more! Your entries will support @RedCrossAU which has been providing aid to those affected by the Bushfires. https://t.co/hYXzirozNa RT! https://t.co/3I48IePWWM",2020-01-31T23:50:31.000Z,https://t.co/ZS8IVqhEpY,Ben Simmons,NA,true,200,1100,5,31,-1069,-195
DickGordonDG,"DARNA DID IT AGAIN. Ms. @143redangel personally went to our Philippine Red Cross-Batangas Chapter to donate and volunteer in the distribution of relief goods and hygiene kits to the families affected by the eruption of Taal volcano.

📸 Jhayvee Hernandez https://t.co/yEQ4BiEdqY",2020-01-19T07:36:12.000Z,https://t.co/yAmSkwhzCq,Richard J. Gordon,Philippines,true,98,488,4,6,-482,-94
ufc,"Please join UFC in supporting relief efforts from the Australian Bushfire crisis. 

Purchase a “UFC Supports Australia” t-shirt at https://t.co/YPzY37aSSV

➡️ 100% of the profits from the sales will benefit the Australian Red Cross Disaster Relief and Recovery Fund. https://t.co/AWu2KVBSqO",2020-01-27T21:05:27.000Z,https://t.co/b17DjvbspU,UFC,Worldwide,true,43,399,0,5,-394,-43
UnityEventsCA,"Last weekend $7300 was raised for the Australia Red Cross and the Country Fire Authority Bushfire Appeal at #UNITYDAYS2020. Big shoutout to Megan and Tara who won the signed #The100 jackets and a huge thank you to @iamjrbourne , @MisElizaJane , @WildpipM , &amp; the cast of #The100! https://t.co/kt6a6X3shP",2020-02-03T02:02:52.000Z,https://t.co/IvBdJbd4Zi,Unity Events Canada,"Vancouver, British Columbia",false,49,350,4,5,-345,-45
DiscoveryUK,"Every donation makes a difference. 🌍❤️🇦🇺

Join Discovery and The Irwins and help Australia now: https://t.co/XaSSnnQhEF

@RSPCA @wildwarriors @AustraliaZoo @RedCrossAU @RobertIrwin @TerriIrwin @BindiIrwin #AustraliaRelief https://t.co/QyNVsENNuO",2020-01-27T17:19:06.000Z,https://t.co/AIocFjR6kX,Discovery Channel UK,"London, England",true,35,348,1,1,-347,-34
ShinsFriendsVN,"Today, we donated some of money for Red Cross in the name of SUPER JUNIOR SHINDONG.
Thank you for supporting our donation campaign to relieve the loss from Australian bushfires. We really appreciate your support. https://t.co/Z7gEWYDL0u",2020-02-10T10:49:06.000Z,https://t.co/HiV4qLsfXq,Always♥신동,Vietnam / International,false,184,313,1,1,-312,-183
