user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
canadiancharity,Red Cross director admits $10MILLION will not go to bushfire victims https://t.co/dL6GaAt76b BS article. If you want to piss away the whole $115 m then just give it all away today without any checks or balances. The public expects more than that.  Controls/systems cost money,2020-01-26T03:22:36.000Z,https://t.co/7R2f8XGMUh,Mark Blumberg,"Toronto, Ontario, Canada",false,1,8,3,2,-6,2
2GB873,"After the Red Cross copped alot of criticism for how it was spending bushfire donations Tim Costello has shed light on how charities operate.

https://t.co/wIhavOICKo",2020-02-13T02:29:57.000Z,http://t.co/2DKQWEllTJ,2GB 873,"Sydney, Australia",true,1,7,3,8,1,2
cerithrhys,"It’s incredibly irritating when people say charities shouldn’t spend money on back office costs i.e. paying staff, running offices, conducting research, delivering communications and policy, raising more money. Do they think these things happen for free?
https://t.co/yHeH2f4mT0",2020-01-25T08:42:39.000Z,https://t.co/PPmW3jlPkd,Cerith D. Rhys Jones 🏴󠁧󠁢󠁷󠁬󠁳󠁿 🇪🇺 🏳️‍🌈,"Caerdydd, Cymru, Ewrop",false,1,21,2,1,-20,1
Mine_Digital,Mine Digital joins the Crypto Fire Alliance to raise money for charities at the frontline of the Australian bushfire crises. @NSWRFS @WIRES_NSW @RedCrossAU  #crypto #cryptocurrency #cryptocurrencies #australia #cryptofirealliance  https://t.co/3R6gvaT5XX,2020-01-27T23:03:05.000Z,https://t.co/QyddSNGIYJ,Mine Digital,Asia/Pacific,false,3,14,4,0,-14,1
thetillapp,"We’re running a fundraiser for #Australia relief.

Install our free app: https://t.co/c5qeSwr9X4

&gt; Each post earns tokens redeemable for @RedCrossAU
&gt; Use #Australia in your post
&gt; Best of all, without using your own money.

#AustraliaFires #SaturdayVibes #SaturdayMotivation https://t.co/pDMb1rojPx",2020-02-08T19:06:18.000Z,https://t.co/pAjH5JZuYC,Till App,NA,false,2,7,3,0,-7,1
CorinnaWho,They’ve paid out $61.5 million.....but they’ve received $127 million! The Red Cross has doubled its bushfire cash relief https://t.co/xIhqLfJpTI via @SBSNews,2020-02-11T00:31:24.000Z,,CrinBlazing 🤶🥂🚜🏇💎💉🦠,Australia,false,2,3,3,3,0,1
9NewsAUS,"The family was told the father wouldn't qualify for the grant because the bushfires didn't cause his cancer. #9News
 https://t.co/hlYSkZWRHi",2020-02-12T03:40:02.000Z,,9News Australia,Australia,true,2,2,3,0,-2,1
BelleFolie2,#milliners4recovery Belle Folie is auctioning this black  open weave sun hat size is adjustable 55 to 56.5 cm . 100% of your bid will go to Red Cross Australia bushfire appeal  to help with recovery efforts. Hat auction ending 21st Jan at 5pm EST https://t.co/hxVUXo5332,2020-01-15T05:49:50.000Z,,Belle Folie,NA,false,4,11,4,7,-4,0
slizzle466,"Thanks to @YataGG for the raid tonight. We pushed through to Rank 2 with Wild Galakrond Warrior!

Thursday, Jan 16 at 9am I will be streaming for charity to fund raise for the Australian bushfires. All donations will be going to the Australian Red Cross.

https://t.co/xaw0cJgjjo https://t.co/quxbYkJLPb",2020-01-15T09:02:58.000Z,https://t.co/P73uA8M4Ty,slizzle466 💙,"British Columbia, Canada",false,1,13,1,0,-13,0
Barnsy_Lisa,"The first ever AFLW derby btwn the Eagles and Dockers will also raise money for bushfire relief. Tix just $3, all proceeds to Red Cross. Pre-sale tickets available from tomorrow. Optus Stadium, Sat Feb 15. https://t.co/ziVXquW03A #perthnews",2020-01-21T06:41:38.000Z,,Lisa Barnes,"Perth, WA",true,3,20,3,1,-19,0
UnsungHeroAward,"This year we're helping the amazing @Ldn_Ambulance raise money for the @RedCrossAU in aid of the devastating Australian bushfires. 

Here's a link to find out more and how you can donate: https://t.co/iucHesgrDi https://t.co/4dbY19QReI",2020-01-25T18:00:00.000Z,https://t.co/vzsr7G3VJT,Unsung Hero Awards,"Manchester, England",false,1,4,1,0,-4,0
gabyjerrardpr,"Raising much needed funds is a goer @TheGrandClapham on 29/1 - a clutch of comic aces hosted by @DeborahFW bring you the laughs in a superb fundraiser for @RedCrossAU following the devastating #BushFires
Tix + who's who here: https://t.co/O4Lq3aEYqQ
#ThePowerOfHumanity https://t.co/D0a2QRqBJf",2020-01-26T11:04:03.000Z,https://t.co/EEfZNw2ust,gaby jerrard,"London, England",false,1,6,1,0,-6,0
TheBLEUisSKY,"yea Red Cross and PETA are garbage and KEEP the $ donated to them!! 

DON'T GIVE TO #RedCross or #PETA!!!!
esp for Australia's bush fires!!!! 
just don't!!!

https://t.co/KL0TmSxII5",2020-01-26T11:33:42.000Z,,LeBleu,NA,false,1,1,1,1,0,0
HRBlockNews,"Our💚goes out to the communities impacted in Australia. @HRBlock and @HRBlockAus are donating 100,000AU$ to provide relief and recovery to those affected by the bushfires. The road to recovery will take widespread support. Join us and donate via @RedCross https://t.co/eQBO7AEFCb https://t.co/faEePNlQRX",2020-01-29T20:08:24.000Z,https://t.co/p87Bgv8V0w,H&R Block News,"Kansas City, MO",true,2,10,2,0,-10,0
